actionmailer, 4.1.10, MIT
actionpack, 4.1.10, MIT
actionview, 4.1.10, MIT
active_model_serializers, 0.9.3, MIT
activemodel, 4.1.10, MIT
activerecord, 4.1.10, MIT
activesupport, 4.1.10, MIT
airbrake, 4.1.0, MIT
annotate, 2.6.8, ruby
arel, 5.0.1.20140414130214, MIT
awesome_print, 1.6.1, MIT
aws, 2.10.2, MIT
aws-sdk, 1.8.1.3, "Apache 2.0"
aws-ses, 0.6.0, MIT
bcrypt, 3.1.10, MIT
better_errors, 2.1.1, MIT
binding_of_caller, 0.7.2, MIT
builder, 3.2.2, MIT
bundler, 1.7.6, MIT
cancan, 1.6.10, MIT
capistrano, 3.4.0, MIT
capistrano-bundler, 1.1.4, MIT
capistrano-rails, 1.1.2, MIT
capistrano-resque, 0.2.2, MIT
capistrano-rvm, 0.1.2, MIT
capistrano3-unicorn, 0.2.1, MIT
capybara, 2.4.4, MIT
capybara-webkit, 1.6.0, MIT
celluloid, 0.16.0, MIT
choice, 0.1.7, MIT
chronic, 0.10.2, MIT
coderay, 1.1.0, MIT
coffee-rails, 4.0.1, MIT
coffee-script, 2.3.0, MIT
coffee-script-source, 1.9.1, MIT
colorize, 0.7.5, GPL-2
dalli, 2.7.4, MIT
database_cleaner, 1.4.1, MIT
debug_inspector, 0.0.2, MIT
devise, 3.4.1, MIT
devise_invitable, 1.4.2, MIT
diff-lcs, 1.2.5, "MIT, Perl Artistic v2, GNU GPL v2"
docile, 1.1.5, MIT
ejs, 1.1.1, MIT
em-websocket, 0.5.1, unknown
erubis, 2.7.0, MIT
eventmachine, 1.0.7, "ruby, GPL"
execjs, 2.4.0, MIT
factory_girl, 4.5.0, MIT
factory_girl_rails, 4.5.0, MIT
faraday, 0.9.1, MIT
faraday_middleware, 0.9.1, MIT
ffi, 1.9.8, BSD
formatador, 0.2.5, MIT
guard, 2.12.5, MIT
guard-livereload, 2.4.0, MIT
haml, 4.0.6, MIT
haml-rails, 0.9.0, MIT
hike, 1.2.3, MIT
hitimes, 1.2.2, ISC
holder_rails, 2.5.2, unknown
html2haml, 2.0.0, MIT
http_connection, 1.4.4, MIT
http_parser.rb, 0.6.0, MIT
httparty, 0.13.5, MIT
i18n, 0.7.0, MIT
jbuilder, 2.2.12, MIT
jquery-rails, 3.1.2, MIT
jquery-ui-rails, 5.0.3, MIT
json, 1.8.2, ruby
kgio, 2.9.3, LGPL-2.1+
libv8, 3.16.14.7, MIT
license_finder, 2.0.4, MIT
listen, 2.10.0, MIT
lumberjack, 1.0.9, MIT
mail, 2.6.3, MIT
metaclass, 0.0.4, MIT
method_source, 0.8.2, MIT
mime-types, 2.4.3, "MIT, Artistic 2.0, GPL-2"
mini_portile, 0.6.2, MIT
minitest, 5.5.1, MIT
mocha, 1.1.0, "MIT, ruby"
mono_logger, 1.1.0, MIT
multi_json, 1.11.0, MIT
multi_xml, 0.5.5, MIT
multipart-post, 2.0.0, MIT
mysql2, 0.3.18, MIT
nenv, 0.2.0, MIT
net-scp, 1.2.1, MIT
net-ssh, 2.9.2, MIT
nifty-generators, 0.4.6, MIT
nokogiri, 1.6.6.2, MIT
notiffany, 0.0.6, MIT
orm_adapter, 0.5.0, MIT
parse-ruby-client, 0.3.0, MIT
pry, 0.10.1, MIT
quiet_assets, 1.1.0, "MIT, GPL"
rack, 1.5.2, MIT
rack-protection, 1.5.3, MIT
rack-test, 0.6.3, MIT
rails, 4.1.10, MIT
rails-backbone, 1.1.2, MIT
rails-erd, 1.3.1, MIT
railties, 4.1.10, MIT
raindrops, 0.14.0, LGPL-2.1+
rake, 10.4.2, MIT
rb-fsevent, 0.9.4, MIT
rb-inotify, 0.9.5, MIT
rdoc, 4.2.0, ruby
redis, 3.2.1, MIT
redis-namespace, 1.5.2, MIT
ref, 1.0.5, MIT
responders, 1.1.2, MIT
resque, 1.25.2, MIT
resque-scheduler, 4.0.0, MIT
resque_mailer, 2.2.7, MIT
rspec-core, 3.3.2, MIT
rspec-expectations, 3.3.1, MIT
rspec-mocks, 3.3.2, MIT
rspec-rails, 3.3.3, MIT
rspec-support, 3.3.0, MIT
ruby-graphviz, 1.0.9, MIT
ruby_parser, 3.6.5, MIT
rufus-scheduler, 3.0.9, MIT
sass, 3.2.19, MIT
sass-rails, 4.0.5, MIT
sdoc, 0.4.1, MIT
sexp_processor, 4.5.0, MIT
shellany, 0.0.1, MIT
simplecov, 0.10.0, MIT
simplecov-html, 0.10.0, MIT
sinatra, 1.4.6, MIT
slop, 3.6.0, MIT
spring, 1.3.3, MIT
sprockets, 2.12.3, MIT
sprockets-rails, 2.2.4, MIT
sshkit, 1.7.1, GPL3
therubyracer, 0.12.1, MIT
thor, 0.19.1, MIT
thread_safe, 0.3.5, "Apache 2.0"
tilt, 1.4.1, MIT
timers, 4.0.1, MIT
turbolinks, 2.5.3, MIT
tzinfo, 1.2.2, MIT
uglifier, 2.7.1, MIT
unicorn, 4.9.0, "GPLv2+, Ruby 1.8"
uuidtools, 2.1.5, "Apache 2.0"
vegas, 0.1.11, MIT
warden, 1.2.3, MIT
whenever, 0.9.4, MIT
will_paginate, 3.0.7, MIT
will_paginate-bootstrap, 1.0.1, MIT
xml-simple, 1.1.5, ruby
xpath, 2.0.0, unknown
